pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,"Circular Threaded Connector Inline Socket, 2-Pole, 5-8mm, 5 Amps, IP68  PRO ELEC - PELR0135 ",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-s2iic/circular-in-line-socket-2-p-5/dp/CN21328,
,,,,,,,,,,,
,"Circular Threaded Connector Inline Plug, 3-Pole, 5-8mm, 5 Amps, IP68 PRO ELEC - PELR0129 ",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-p3iic/circular-in-line-plug-3-p-5-8mm/dp/CN21322,
,"Circular Threaded Connector Inline Socket, 3-Pole, 5-8mm, 5 Amps, IP68  PRO ELEC - PELR0136 ",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-s3iic/circular-in-line-socket-3-p-5/dp/CN21329,
,"Circular Threaded Connector Plug, 3-Pole, 5-8mm, IP68 -  5 Amps, PELR0115",2,£2.76,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-p3iic/circular-plug-3-pole-5-8mm-ip68/dp/CN21308,
,"Circular Threaded Connector Socket, 3-Pole, 5-8mm, IP68  5 Amps, PRO ELEC - PELR0122 ",2,£3.12,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-s3iic/circular-socket-3-pole-5-8mm-ip68/dp/CN21315,
,,,,,,,,,,,
,"Circular Threaded Connector Inline Plug, 4-Pole, 5-8mm, IP68  5 Amps, PRO ELEC - PELR0130 , mates with PELR0123, YES",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-p4iic/circular-in-line-plug-4-p-5-8mm/dp/CN21323,
,"Circular Threaded Connector Socket, 4-Pole, 5-8mm, IP68  5 Amps, PRO ELEC - PELR0123 , mates with PELR0130, YES",2,£2.76,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-s4iic/circular-socket-4-pole-5-8mm-ip68/dp/CN21316,
,"Circular Threaded Connector Inline Socket, 4-Pole, 5-8mm, IP68 5 Amps,  PRO ELEC - PELR0137 ",2,£3.10,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1311-s4iic/circular-in-line-socket-4-p-5/dp/CN21330,
,regulator,2,£2.76,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp1310-p4iic/circular-plug-4-pole-5-8mm-ip68/dp/CN21309,
,"Circular Threaded Inline Connector Socket, 2-Pole, 7-12mm, IP68   30 Amp, PPRO ELEC - PELR0163 , mates with PELR0170 ?",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-s2ii-1c/circular-socket-2-pole-7-12mm/dp/CN21356,
,"Circular Threaded Inline Connector Plug, 2-Pole, 7-12mm, IP68  30 Amp, PPRO ELEC - PELR0156  ",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-p2ii-1c/circular-plug-2-pole-7-12mm-ip68/dp/CN21349,
,"Circular Threaded Connector Inline Socket, 2-Pole, 7-12mm, IP68   30 Amp, PPRO ELEC - PELR0177 ",2,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-s2ii-1c/circular-in-line-socket-2-p-7/dp/CN21370,
,,,,,,,,,,,
,,,,,,,,,,,
,"Circular Threaded Inline Connector Plug, 3-Pole, 7-12mm, IP68   30 Amp, PPRO ELEC - PELR0157 ",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-p3ii-1c/circular-plug-3-pole-7-12mm-ip68/dp/CN21350,
,"Circular Threaded Inline Connector Socket, 3-Pole, 7-12mm, IP68 30 Amp, P PRO ELEC  - PELR0164 ",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-s3ii-1c/circular-socket-3-pole-7-12mm/dp/CN21357,
,"Circular Threaded Connector Inline Plug, 3-Pole, 7-12mm, IP68  30 Amp, PRO ELEC - PELR0171 ",2,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-p3ii-1c/circular-in-line-plug-3-p-7-12mm/dp/CN21364,
,"Circular Threaded Connector Inline Socket, 3-Pole, 7-12mm, IP68 30 Amp,PRO ELEC - PELR0178 ",2,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-s3ii-1c/circular-in-line-socket-3-p-7/dp/CN21371,
,,,,,,,,,,,
,"Circular Threaded Inline Connector Plug, 4-Pole, 7-12mm, IP68  30 Amp, PRO ELEC - PELR0158 ",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-p4ii-1c/circular-plug-4-pole-7-12mm-ip68/dp/CN21351,
,"Circular Threaded Connector Inline Plug(SOCKET?), 4-Pole, 7-12mm, IP68 30 Amp,  PRO ELEC - PELR0172 ",2,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-p4ii-1c/circular-in-line-plug-4-p-7-12mm/dp/CN21365,
